시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자
부산광역시,부산진구,1권역,"부전동,초읍동,부암1동,연지동,부암3동,당감동,개금3동",문전수거,"대문 앞, 1층 출입구",일반종량제봉투에 담아 배출,이물질과 물기제거 후 전용용기에 담아 배출,"용기안의 내용물은 깨끗이 비우고, 재활용품에 묻어있는 이물질,음식물 등은 닦거나 행구고, 레벨, 뚜껑 등 다른 재질은 분리하고, 종류별, 재질별로 섞지 않고",대형폐기물업체를 통해 수거(이사나 가구를 버리는 경우),대형폐기물업체를 통해 수거(이사나 가구를 버리는 경우),"일반(가연성)쓰레기 : 화,목요일   일반(불연성)쓰레기,연탄재 : 수요일","일,화,목요일","캔,고철,병,의류,종이,스티로폼,비닐,폐가전 : 월요일페트병,요구르트병,플라스틱,종이팩 : 수요일",19:00,21:00,19:00,21:00,19:00,21:00,,,"금,토요일",청소행정과,051-605-4434,2018-08-20
부산광역시,부산진구,2권역,"양정동,전포2동,전포1동,가야동,개금1,2동,범천2.4동,범천1동",문전수거,"대문 앞, 2층 출입구",일반종량제봉투에 담아 배출,이물질과 물기제거 후 전용용기에 담아 배출,"용기안의 내용물은 깨끗이 비우고, 재활용품에 묻어있는 이물질,음식물 등은 닦거나 행구고, 레벨, 뚜껑 등 다른 재질은 분리하고, 종류별, 재질별로 섞지 않고",대형폐기물업체를 통해 수거(이사나 가구를 버리는 경우),대형폐기물업체를 통해 수거(이사나 가구를 버리는 경우),"일반(가연성)쓰레기 : 월,수요일   일반(불연성)쓰레기 : 목요일   연탄재 : 월요일","일,화,목요일","캔,고철,병,의류,종이,스티로폼,비닐,폐가전 : 월요일페트병,요구르트병,플라스틱,종이팩 : 목요일",19:00,21:00,19:00,21:00,19:00,21:00,,,"금,토요일",청소행정과,051-605-4434,2018-08-20
