"시도명",시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자
"부산광역시",남구,1권역,대연1동+대연4동+대연5동+대연6동+문현동+용호1동 LG메트로1단지,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,문전수거,집앞,일+화+목,일+화+목,월+수,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,금+토+설명절+추석명절,청소행정과,051-607-4432,2018-08-17
"부산광역시",남구,2권역,대연3동+용호동(LG메트로1단지 제외)+용당동+감만동+우암동,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,문전수거,집앞,일+화+목,일+화+목,월+수,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,금+토+설명절+추석명절,청소행정과,051-607-4432,2018-08-17
